id,sender,message_body,category
1,VERIFY,Your OTP is 047182 for login. Do not share it with anyone. ₹1200 charge alert program.,otp
2,AXISBK,Your Rs 9800.00 transfer to Suresh is successful. Ref: AX-7842. Thanks for banking with us.,banking
3,ZOMATO,Your order 12345 is on the way. ETA 25 mins. Cash on delivery? ₹50 delivery charge included.,promotion
4,91-9876543210,"Hey yaar, long time! U coming to the get-together this weekend? :)",personal
5,OTPSMS,Use 826493 to verify your login. Exp 10 mins. Do not share.,otp
6,SBIALERT,Your credit card bill Rs 14999.75 due on 15th. Pay now to avoid late fee.,banking
7,PROMO-ITC,Special offer: 20% off on electronics. Use code ELEC20. Valid till midnight.,promotion
8,INDIASCLOUD,"Service alert: Your password reset link will expire in 15 mins. If not requested, ignore.",service
9,9876543210,Urgent: your loan repayment of Rs 3500 due tomorrow. Settle to avoid penalty.,banking
10,SWIGGY,Your order 54321 is confirmed. ETA 30 mins. Total ₹420.00.,promotion
11,HEALTHPLUS,Reminder: Your annual checkup is due. Book slots today. ₹0 booking fee.,service
12,GOIBIBO,Flight rescheduled: AI101 to BLR now departs 21:40. New dep time 22:10.,service
13,9X9MART,Deal drop: Buy 2 get 1 free on select items. Ends soon.,promotion
14,UBER,Your ride receipt: ₹128.50 for trip #987654. Thanks for riding with us.,personal
15,ICICIBK,"Mobile number 9988776655 used for recent login attempt. If not you, block it.",banking
16,MYNTRA,Your order 556677 has shipped. Tracking: MN654321. Delivery by today evening.,promotion
17,VERIFY,OTP 493820 for your transaction on 12:45 PM. Do not share.,otp
18,KOTAKBK,"Alert: Your balance is Rs 15,600.2. Available yesterday; transfer pending ₹2,000.",banking
19,XYZ-SCAM,Congrats! You’ve won a prize. claim now with code WINN Delhi 99.,spam
20,OLACABS,Your ride is awaiting pickup. Driver approx 5 mins away. Fare ₹120.,service
21,AXISBK,Your OTP for AXISBK mPin is 642981. Do not share it. OTP valid for 10 mins.,otp
22,HDFCBK,₹500 cashback on your HDFCBK wallet top-up. Use promo CODE: WELCOME500.,promotion
23,ICICIBK,"Your account balance is ₹12,340.50. Avg spend this month ₹3,450.90. ₹ PAN updated.",banking
24,SBIALERT,"Alert: Your card was used at AMAZON for ₹1,299.99 on 07:45 PM, 02 Nov.",banking
25,VERIFY,OTP for your login to ICICI app: 324657. Code valid for 5 mins.,otp
26,ZOMATO,Order #Z12345 confirmed. ₹250 off on your next order. Delivery by 30- minutes.,promotion
27,SWIGGY,Hi! Your ride to airport is 12 mins away. Tip ₹50 optional.,personal
28,9**78,Ur OTP for Paytm: 987654. Do not share with anyone.,otp
29,GOIBIBO,"Flight + hotel deal: save ₹2,000 if you book today. Delhi to Mumbai.",promotion
30,OLACABS,"Your ride is arriving in 3 mins. Vehicle: Indigo, Reg _DL12AB1234.",service
31,MYNTRA,Order #MY98765 shipped. Tracking: 1Z999AA10123456784.,promotion
32,UBER,Promo: Get ₹150 off on your next ride. Use code: UBER150.,promotion
33,ARIALLY,"Hey yaar, dinner at 8? I am around near MG Road.",personal
34,OTP_SMS,Your OTP is 453210 for signup. Do not share with anyone.,otp
35,NETBANK,Your statement for Oct is ready. Total due ₹0.00. Click to view details.,banking
36,ZOMATO,New offer: Free dessert with orders over ₹399 today only.,promotion
37,PAYTM,Recharge successful: ₹200 credited to your Paytm wallet.,banking
38,ICICIBK,"Service alert: Your card is safe. New login from Mumbai, IP 45.1.2.5",service
39,GOJEK,Promo: 20% off on first ride up to ₹100. Code: GO20,promotion
40,SMS-SPAM,"You won a prize! Withdraw ₹10,000 by confirming your PIN.",spam
41,AXISBK,Your OTP for login is 728492. Do not share. Valid for 10 mins. Thanks.,otp
42,SBIALERT,"Rs. 2,540 debited from your A/c ending 1234 on 07/11. Ref 987654. If not you, call 022-XXXXX.",banking
43,ZOMATO,Congrats! You saved ₹120 today. Use code ZMRSAVE at checkout. valid until 12/Nov.,promotion
44,91-9876543210,Ur order #ORD456789 confirmed. ETA in 30 mins. Tap for live tracking.,personal
45,VERIFY,OTP: 438902 for your verification. Do not share with anyone. Expiry: 5 mins.,otp
46,ICICIBK,"Your card was used for online purchase ₹3,400 on 06/11. If not you, contact ICICI fraud desk.",banking
47,SWIGGY,Delicious! Your order #SWG789 confirmed. ETA 25 mins. total ₹320.,promotion
48,GOIBIBO,Your flight 7B-2102 confirmed. PNR AB1234. It’s a great day ahead ✈️,service
49,9XXXXXXXXX,Hi! Long time no chat. Catch up this weekend? 😊,personal
50,PAYTM,₹150 cashback credited to your wallet. Use it before 15th Nov.,promotion
51,KOTAKBK,"Your statement is ready. Balance ₹12,455.80. Check via KOTAK24 app.",banking
52,OTPSMS,OTP 657981 for your login. Do not share with anyone. Expires in 4 mins.,otp
53,UBER,Your ride is here. Driver Raj at 5 mins away. Vehicle ending 5522.,personal
